,euclidean_distance,hdf5_idx
1328,406.69,2638
1329,406.69,6329
1330,406.64,2819
1331,406.63,12543
1332,406.59,17580
1333,406.58,17052
1334,406.52,12289
1335,406.48,12154
1336,406.48,18188
1337,406.47,6571
1338,406.44,9848
1339,406.4,2708
1340,406.39,9022
1341,406.35,14471
1342,406.28,1307
1343,406.23,15035
1344,406.22,1563
1345,406.21,3822
1346,406.18,4105
1347,406.16,6854
1348,406.14,15845
1349,406.12,17860
1350,406.04,9877
1351,406.02,3671
1352,406.02,14735
1353,405.99,3146
1354,405.94,11276
1355,405.92,6722
1356,405.91,16466
1357,405.91,17240
1358,405.85,17
1359,405.85,8990
1360,405.83,9179
1361,405.82,1961
1362,405.82,10796
1363,405.81,3344
1364,405.77,12394
1365,405.76,10856
1366,405.74,16480
1367,405.71,2558
1368,405.64,14623
1369,405.64,17694
1370,405.63,6514
1371,405.6,6844
1372,405.59,12290
1373,405.58,5703
1374,405.56,12179
1375,405.55,1998
1376,405.55,9881
1377,405.5,2316
1378,405.47,9772
1379,405.41,16245
1380,405.38,3115
1381,405.34,15050
1382,405.3,7353
1383,405.27,4787
1384,405.21,3049
1385,405.13,1116
1386,405.13,7644
1387,405.1,12086
1388,405.07,11033
1389,405.03,977
1390,405.01,6812
1391,404.94,16735
1392,404.9,16394
1393,404.88,4533
1394,404.86,1036
1395,404.85,18502
1396,404.83,7096
1397,404.81,12533
1398,404.76,2276
1399,404.71,8561
1400,404.69,7267
1401,404.56,9561
1402,404.56,15452
1403,404.53,10616
1404,404.52,10889
1405,404.46,15716
1406,404.43,14209
1407,404.41,12708
1408,404.41,12984
1409,404.36,3279
1410,404.36,15899
1411,404.31,5638
1412,404.3,10044
1413,404.27,14458
1414,404.26,11240
1415,404.24,10016
1416,404.24,17038
1417,404.21,17844
1418,404.19,5779
1419,404.16,2499
1420,404.11,8096
1421,404.09,3094
1422,404.09,18153
1423,404.07,8326
1424,404.06,18046
1425,404.05,9365
1426,404.04,17700
1427,403.97,17617
1428,403.95,6268
1429,403.77,216
1430,403.77,12485
1431,403.77,17171
1432,403.76,239
1433,403.72,1654
1434,403.68,12676
1435,403.64,10554
1436,403.63,12836
1437,403.59,6502
1438,403.58,12566
1439,403.57,11785
1440,403.55,15488
1441,403.48,4777
1442,403.42,3364
1443,403.4,4275
1444,403.38,16376
1445,403.35,9162
1446,403.31,15936
1447,403.28,4578
1448,403.17,2223
1449,403.16,3731
1450,403.15,521
1451,403.15,15637
1452,403.14,14989
1453,403.13,3728
1454,403.12,16125
1455,403.02,13547
1456,402.98,9786
1457,402.92,16731
1458,402.91,8771
1459,402.91,14868
1460,402.91,16163
1461,402.89,5354
1462,402.87,8740
1463,402.87,15549
1464,402.81,17604
1465,402.75,2240
1466,402.74,15839
1467,402.72,6548
1468,402.71,12403
1469,402.68,429
1470,402.67,10652
1471,402.64,3116
1472,402.63,4453
1473,402.51,15672
1474,402.49,15354
1475,402.48,14804
1476,402.48,16739
1477,402.47,17784
1478,402.44,13493
1479,402.42,10730
1480,402.41,12504
1481,402.39,6521
1482,402.37,17721
1483,402.31,2798
1484,402.26,17026
1485,402.25,17826
1486,402.12,16282
1487,402.08,7430
1488,402.08,13727
1489,402.0,13068
1490,401.98,10480
1491,401.96,2368
1492,401.96,11898
1493,401.91,14948
1494,401.91,17262
1495,401.86,2791
1496,401.85,3684
1497,401.81,16672
1498,401.79,1231
